Noise,SVC Accuracy,CNN Accuracy
0.00,0.8063860077282896,0.7079520032540166
0.05,0.6457189343095383,0.6943258084197681
0.10,0.4429530201342282,0.6670734187512711
0.15,0.32418141142973356,0.6280252186292454
0.20,0.21862924547488305,0.5842993695342689
0.25,0.15232865568436038,0.5668090298962782
0.30,0.1053487899125483,0.532845230831808
0.35,0.06609721374822046,0.5055928411633109
0.40,0.0520642668293675,0.4661378889566809
0.45,0.037014439699003455,0.4321740898922107
0.50,0.029082774049217,0.3957697783201139
0.55,0.025828757372381533,0.32031726662599147
0.60,0.019117347976408378,0.24771201952410007
0.65,0.011999186495830792,0.20073215375228798
0.70,0.011795810453528574,0.16514134634940003
0.75,0.011795810453528574,0.11450071181614806
0.80,0.011795810453528574,0.0811470408785845
0.85,0.011795810453528574,0.05430140329469189
0.90,0.011795810453528574,0.03131991051454139
0.90,0.011795810453528574,0.03131991051454139
1.00,0.011795810453528574,0.02094773235712833
