Rotation,SVC Accuracy,CNN Accuracy
neg90,0.021964612568639415,0.009151921903599756
neg85,0.021151108399430546,0.007728289607484238
neg80,0.02155786048403498,0.007321537522879805
neg75,0.026235509456985967,0.011185682326621925
neg70,0.026438885499288182,0.014236322961155175
neg65,0.030913158429936954,0.014439699003457393
neg60,0.03131991051454139,0.017286963595688428
neg55,0.034573927191376856,0.023388244864754933
neg50,0.03742119178360789,0.02603213341468375
neg45,0.03986170429123449,0.03315029489526134
neg40,0.04616636160260321,0.03925157616432784
neg35,0.06162294081757169,0.05613178767541183
neg30,0.09151921903599756,0.07728289607484239
neg25,0.1437868619076673,0.12283912955053895
neg20,0.2534065487085621,0.21273134024811877
neg15,0.408989221069758,0.3695342688631279
neg10,0.6007728289607485,0.5503355704697986
neg5,0.760829774252593,0.6760219646125687
zero0,0.8063860077282896,0.7173073011999187
pos5,0.7569656294488509,0.6768354687817775
pos10,0.5849094976611755,0.5379296318893634
pos15,0.3762456782591011,0.3233679072605247
pos20,0.25198291641244663,0.16758185885702664
pos25,0.1610738255033557,0.09456985967053082
pos30,0.10026438885499288,0.06589383770591824
pos35,0.06874110229814928,0.055114907463900756
pos40,0.05104738661785642,0.037827943868212324
pos45,0.045352857433394345,0.02928615009151922
pos50,0.04514948139109213,0.029692902176123654
pos55,0.040471832418141146,0.026235509456985967
pos60,0.03620093552979459,0.021964612568639415
pos65,0.0339637990644702,0.020744356314826115
pos70,0.029489526133821435,0.018710595891803947
pos75,0.025015253203172667,0.020744356314826115
pos80,0.019930852145617246,0.016676835468781778
pos85,0.018913971934106162,0.014846451088061827
pos90,0.018710595891803947,0.010575554199715273
